Date,Adj Close_BBVA.MC,Close_BBVA.MC,Dividends_BBVA.MC,High_BBVA.MC,Low_BBVA.MC,Open_BBVA.MC,Stock Splits_BBVA.MC,Volume_BBVA.MC,tasa_interes,inflacion,PIB,desempleo,tipo_cambio,liquidez_M2,materias_primas,politica_monetaria,sentimiento_global,inflacion_eurozona,desempleo_espana,"('VIX', '^VIX')"
2003-05-20,2.5617666244506836,7.820456027984619,0.0,7.974174976348877,7.762811183929443,7.820456027984619,0.0,25340213,1.26,182.9,14743.567,6.1,1.1685,5965.3,63.1125094945253,3.57,6.77,81.0,11.3,21.290000915527344
2003-05-21,2.49882435798645,7.628306865692139,0.0,7.8780999183654785,7.618699073791504,7.628306865692139,0.0,29207888,1.26,182.9,14743.567,6.1,1.1707,5965.3,63.1125094945253,3.57,6.8,81.0,11.3,21.209999084472656
2003-05-22,2.574355125427246,7.858884811401367,0.0,7.86849308013916,7.685952186584473,7.858884811401367,0.0,14564157,1.26,182.9,14743.567,6.1,1.17,5965.3,63.1125094945253,3.57,6.86,81.0,11.3,19.780000686645508
2003-05-23,2.6026790142059326,7.945352077484131,0.0,7.993390083312988,7.7339887619018555,7.945352077484131,0.0,22208174,1.26,182.9,14743.567,6.1,1.1786,5965.3,63.1125094945253,3.57,6.87,81.0,11.3,19.170000076293945
2003-05-26,2.590090274810791,7.906922817230225,0.0,8.022212028503418,7.849277973175049,7.906922817230225,0.0,11176539,1.26,182.9,14743.567,6.1,1.1786,5965.3,63.1125094945253,3.57,6.87,81.0,11.3,19.170000076293945
2003-05-27,2.590090274810791,7.906922817230225,0.0,7.916530132293701,7.714774131774902,7.906922817230225,0.0,20466165,1.26,182.9,14743.567,6.1,1.1853,5965.3,63.1125094945253,3.57,6.88,81.0,11.3,19.989999771118164
2003-05-28,2.649885654449463,8.08946418762207,0.0,8.108678817749023,7.974174976348877,8.08946418762207,0.0,22793139,1.26,182.9,14743.567,6.1,1.1742,5965.3,63.1125094945253,3.57,6.89,81.0,11.3,20.030000686645508
2003-05-29,2.6435916423797607,8.0702486038208,0.0,8.1663236618042,7.993390083312988,8.0702486038208,0.0,19409705,1.26,182.9,14743.567,6.1,1.1835,5965.3,63.1125094945253,3.57,6.87,81.0,11.3,20.43000030517578
2003-05-30,2.6435916423797607,8.0702486038208,0.0,8.1663236618042,7.926137924194336,8.0702486038208,0.0,25774270,1.26,182.9,14743.567,6.1,1.1766,5965.3,63.1125094945253,3.57,6.81,81.0,11.3,19.469999313354492
2003-06-02,2.687650442123413,8.204752922058105,0.0,8.300827980041504,8.09907054901123,8.204752922058105,0.0,23107947,1.26,182.9,14743.567,6.1,1.1744,5965.3,63.1125094945253,3.57,6.66,81.1,11.5,20.850000381469727
2003-06-03,2.700239896774292,8.243183135986328,0.0,8.243183135986328,8.079856872558594,8.243183135986328,0.0,18093535,1.26,182.9,14743.567,6.1,1.1702,5965.3,63.1125094945253,3.57,6.74,81.1,11.5,20.84000015258789
2003-06-04,2.7065343856811523,8.262397766113281,0.0,8.329649925231934,8.147109031677246,8.262397766113281,0.0,23367352,1.26,182.9,14743.567,6.1,1.1708,5965.3,63.1125094945253,3.57,6.7,81.1,11.5,20.6200008392334
