Date,Adj Close_SAN.MC,Close_SAN.MC,Dividends_SAN.MC,High_SAN.MC,Low_SAN.MC,Open_SAN.MC,Stock Splits_SAN.MC,Volume_SAN.MC,tasa_interes,inflacion,PIB,desempleo,tipo_cambio,liquidez_M2,materias_primas,politica_monetaria,sentimiento_global,inflacion_eurozona,desempleo_espana,"('VIX', '^VIX')"
2003-05-07,1.8188921213150024,5.9459919929504395,0.0,6.16236686706543,5.9373369216918945,5.9459919929504395,0.0,48319744,1.26,182.9,14743.567,6.1,1.134,5965.3,63.1125094945253,3.57,6.46,81.0,11.3,21.0
2003-05-08,1.7341680526733398,5.669031143188477,0.0,5.980611801147461,5.669031143188477,5.669031143188477,0.0,162827527,1.26,182.9,14743.567,6.1,1.1453,5965.3,63.1125094945253,3.57,6.55,81.0,11.3,21.239999771118164
2003-05-09,1.781825065612793,5.8248209953308105,0.0,5.850786209106445,5.617101192474365,5.8248209953308105,0.0,69376689,1.26,182.9,14743.567,6.1,1.1498,5965.3,63.1125094945253,3.57,6.53,81.0,11.3,19.690000534057617
2003-05-12,1.8030056953430176,5.894061088562012,0.0,5.902716159820557,5.686340808868408,5.894061088562012,0.0,50984535,1.26,182.9,14743.567,6.1,1.1557,5965.3,63.1125094945253,3.57,6.53,81.0,11.3,19.520000457763672
2003-05-13,1.7791768312454224,5.816165924072266,0.0,5.9459919929504395,5.781546115875244,5.816165924072266,0.0,30527106,1.26,182.9,14743.567,6.1,1.1499,5965.3,63.1125094945253,3.57,6.53,81.0,11.3,19.90999984741211
2003-05-14,1.7685871124267578,5.781546115875244,0.0,5.876750946044922,5.729616165161133,5.781546115875244,0.0,30360001,1.26,182.9,14743.567,6.1,1.1498,5965.3,63.1125094945253,3.57,6.62,81.0,11.3,20.0
2003-05-15,1.8003584146499634,5.885406017303467,0.0,5.894061088562012,5.712306022644043,5.885406017303467,0.0,32463841,1.26,182.9,14743.567,6.1,1.1457,5965.3,63.1125094945253,3.57,6.55,81.0,11.3,19.239999771118164
2003-05-16,1.8241866827011108,5.963302135467529,0.0,5.980611801147461,5.8248209953308105,5.963302135467529,0.0,45316715,1.26,182.9,14743.567,6.1,1.1542,5965.3,63.1125094945253,3.57,6.63,81.0,11.3,18.399999618530273
2003-05-19,1.7262253761291504,5.643065929412842,0.0,5.902716159820557,5.643065929412842,5.643065929412842,0.0,28071576,1.26,182.9,14743.567,6.1,1.1686,5965.3,63.1125094945253,3.57,6.66,81.0,11.3,20.510000228881836
2003-05-20,1.7262253761291504,5.643065929412842,0.0,5.738271236419678,5.565170764923096,5.643065929412842,0.0,31581016,1.26,182.9,14743.567,6.1,1.1685,5965.3,63.1125094945253,3.57,6.77,81.0,11.3,21.290000915527344
